ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,1,1967,124.3,25.1
6,Pongola - SASRI,2,1967,87.8,23.7
6,Pongola - SASRI,3,1967,100.5,23
6,Pongola - SASRI,4,1967,74,21.4
6,Pongola - SASRI,5,1967,6.6,18.8
6,Pongola - SASRI,6,1967,0.8,16.1
6,Pongola - SASRI,7,1967,1.5,15
6,Pongola - SASRI,8,1967,0.8,17.5
6,Pongola - SASRI,9,1967,20.3,20.6
6,Pongola - SASRI,10,1967,51,21.8
6,Pongola - SASRI,11,1967,121.9,23.2
6,Pongola - SASRI,12,1967,37.9,24
6,Pongola - SASRI,1,1968,52.6,25.9
6,Pongola - SASRI,2,1968,85.1,24.4
6,Pongola - SASRI,3,1968,65.5,22.1
6,Pongola - SASRI,4,1968,13.1,20
6,Pongola - SASRI,5,1968,1.3,18.6
6,Pongola - SASRI,6,1968,0.5,14.4
6,Pongola - SASRI,7,1968,3.1,16.8
6,Pongola - SASRI,8,1968,21.4,18
6,Pongola - SASRI,9,1968,4.4,20
6,Pongola - SASRI,10,1968,27.7,22.6
6,Pongola - SASRI,11,1968,50.6,21.8
6,Pongola - SASRI,12,1968,24.6,26.1
6,Pongola - SASRI,1,1969,126,27.1
6,Pongola - SASRI,2,1969,41.4,27
6,Pongola - SASRI,3,1969,174.6,24.5
6,Pongola - SASRI,4,1969,90.5,21.2
6,Pongola - SASRI,5,1969,42.3,17.8
6,Pongola - SASRI,6,1969,1,15.5
6,Pongola - SASRI,7,1969,3.8,16.8
6,Pongola - SASRI,8,1969,0.3,18
6,Pongola - SASRI,9,1969,43.1,19.8
6,Pongola - SASRI,10,1969,110.3,21.5
6,Pongola - SASRI,11,1969,82.2,22.4
6,Pongola - SASRI,12,1969,54.7,23.4
6,Pongola - SASRI,1,1970,27.7,26
6,Pongola - SASRI,2,1970,62.7,23.5
6,Pongola - SASRI,3,1970,14.8,21.5
6,Pongola - SASRI,4,1970,26.9,20.4
6,Pongola - SASRI,5,1970,44,18.6
6,Pongola - SASRI,6,1970,12.2,15.7
6,Pongola - SASRI,7,1970,1,16.6
6,Pongola - SASRI,8,1970,14.8,18.9
6,Pongola - SASRI,9,1970,29.7,21.1
6,Pongola - SASRI,10,1970,69.9,20.8
6,Pongola - SASRI,11,1970,82.1,23.7
6,Pongola - SASRI,12,1970,51.2,25.7
6,Pongola - SASRI,1,1971,78.6,24.9
6,Pongola - SASRI,2,1971,87.8,24.1
6,Pongola - SASRI,3,1971,87.6,24.6
6,Pongola - SASRI,4,1971,68.6,21.8
6,Pongola - SASRI,5,1971,23.6,17.7
6,Pongola - SASRI,6,1971,0.7,15.6
6,Pongola - SASRI,7,1971,3.8,16.3
6,Pongola - SASRI,8,1971,2.9,18.1
6,Pongola - SASRI,9,1971,24.8,20.1
6,Pongola - SASRI,10,1971,57.1,21.5
6,Pongola - SASRI,11,1971,189.9,22.2
6,Pongola - SASRI,12,1971,134.8,23.5
6,Pongola - SASRI,1,1972,123.6,25
6,Pongola - SASRI,2,1972,104.6,23.5
6,Pongola - SASRI,3,1972,74.3,23.2
6,Pongola - SASRI,4,1972,20.5,22
6,Pongola - SASRI,5,1972,51.7,19.3
6,Pongola - SASRI,6,1972,3.6,15.2
6,Pongola - SASRI,7,1972,11.7,15.5
6,Pongola - SASRI,8,1972,0,16.9
6,Pongola - SASRI,9,1972,5.1,19.9
6,Pongola - SASRI,10,1972,23.1,22
6,Pongola - SASRI,11,1972,90.3,21.6
6,Pongola - SASRI,12,1972,65.2,24.9
6,Pongola - SASRI,1,1973,94.5,25
6,Pongola - SASRI,2,1973,195.7,23.9
6,Pongola - SASRI,3,1973,14.1,24.8
6,Pongola - SASRI,4,1973,42.9,19.9
6,Pongola - SASRI,5,1973,1.5,18.2
6,Pongola - SASRI,6,1973,1,16.2
6,Pongola - SASRI,7,1973,1.2,15.8
6,Pongola - SASRI,8,1973,42,16.7
6,Pongola - SASRI,9,1973,139.9,19.2
6,Pongola - SASRI,10,1973,58.1,20.5
6,Pongola - SASRI,11,1973,142.8,21.7
6,Pongola - SASRI,12,1973,86.9,22.5
6,Pongola - SASRI,1,1974,201.7,25.2
6,Pongola - SASRI,2,1974,2.6,25
6,Pongola - SASRI,3,1974,44.3,24.5
6,Pongola - SASRI,4,1974,79,20.2
6,Pongola - SASRI,5,1974,7,18.6
6,Pongola - SASRI,6,1974,13.6,16.1
6,Pongola - SASRI,7,1974,30.6,16.2
6,Pongola - SASRI,8,1974,1,18.2
6,Pongola - SASRI,9,1974,2.2,20.4
6,Pongola - SASRI,10,1974,45.1,23.1
6,Pongola - SASRI,11,1974,153.6,23.3
6,Pongola - SASRI,12,1974,134.7,23.7
6,Pongola - SASRI,1,1975,169.7,24.3
6,Pongola - SASRI,2,1975,148.7,23.3
6,Pongola - SASRI,3,1975,19.4,22
6,Pongola - SASRI,4,1975,64.8,20.9
6,Pongola - SASRI,5,1975,7.2,18.9
6,Pongola - SASRI,6,1975,7.4,15.6
6,Pongola - SASRI,7,1975,4.2,15.7
6,Pongola - SASRI,8,1975,1.1,17.7
6,Pongola - SASRI,9,1975,129.6,20.3
6,Pongola - SASRI,10,1975,25.2,19.4
6,Pongola - SASRI,11,1975,102.2,21.3
6,Pongola - SASRI,12,1975,103.9,22.6
6,Pongola - SASRI,1,1976,118.6,23.8
6,Pongola - SASRI,2,1976,102.5,24
6,Pongola - SASRI,3,1976,80.9,23.9
6,Pongola - SASRI,4,1976,30,20.7
6,Pongola - SASRI,5,1976,42.5,17.2
6,Pongola - SASRI,6,1976,0,15.7
6,Pongola - SASRI,7,1976,0,15.4
6,Pongola - SASRI,8,1976,2.9,16.5
6,Pongola - SASRI,9,1976,0.3,20.3
6,Pongola - SASRI,10,1976,112.3,21
6,Pongola - SASRI,11,1976,62.4,23.1
6,Pongola - SASRI,12,1976,31,25.3
6,Pongola - SASRI,1,1977,150.6,26.6
6,Pongola - SASRI,2,1977,117.7,24.8
6,Pongola - SASRI,3,1977,52.4,21.8
6,Pongola - SASRI,4,1977,2.5,21.6
6,Pongola - SASRI,5,1977,16.7,18.1
6,Pongola - SASRI,6,1977,4.3,16.7
6,Pongola - SASRI,7,1977,0,15.7
6,Pongola - SASRI,8,1977,7.8,17.4
6,Pongola - SASRI,9,1977,49.5,20.8
6,Pongola - SASRI,10,1977,31.1,22
6,Pongola - SASRI,11,1977,49.9,23
6,Pongola - SASRI,12,1977,123.6,25.8
6,Pongola - SASRI,1,1978,164.8,24.2
6,Pongola - SASRI,2,1978,87.5,24.9
6,Pongola - SASRI,3,1978,129.2,24.6
6,Pongola - SASRI,4,1978,32.2,20.7
6,Pongola - SASRI,5,1978,22.8,18.8
6,Pongola - SASRI,6,1978,1.4,15.5
6,Pongola - SASRI,7,1978,10.1,16.3
6,Pongola - SASRI,8,1978,22.5,19.8
6,Pongola - SASRI,9,1978,18.5,19.8
6,Pongola - SASRI,10,1978,168.2,20.8
6,Pongola - SASRI,11,1978,109.9,22.9
6,Pongola - SASRI,12,1978,32.1,23.9
6,Pongola - SASRI,1,1979,105,24.7
6,Pongola - SASRI,2,1979,36.7,26.3
6,Pongola - SASRI,3,1979,51.2,24.2
6,Pongola - SASRI,4,1979,65.1,22.2
6,Pongola - SASRI,5,1979,9.8,19.1
6,Pongola - SASRI,6,1979,0,16.8
6,Pongola - SASRI,7,1979,5.8,15.7
6,Pongola - SASRI,8,1979,27.5,18.6
6,Pongola - SASRI,9,1979,38.4,19
6,Pongola - SASRI,10,1979,59,22.2
6,Pongola - SASRI,11,1979,56.3,22.8
6,Pongola - SASRI,12,1979,84.8,24
6,Pongola - SASRI,1,1980,192.2,24.3
6,Pongola - SASRI,2,1980,70.2,24.7
6,Pongola - SASRI,3,1980,7.9,24.1
6,Pongola - SASRI,4,1980,31.5,21.8
6,Pongola - SASRI,5,1980,9.8,19.1
6,Pongola - SASRI,6,1980,0,16.3
6,Pongola - SASRI,7,1980,0,15.8
6,Pongola - SASRI,8,1980,10.8,18
6,Pongola - SASRI,9,1980,55.1,18.9
6,Pongola - SASRI,10,1980,19.2,21.4
6,Pongola - SASRI,11,1980,156,23.4
6,Pongola - SASRI,12,1980,138.4,25.3
6,Pongola - SASRI,1,1981,102.4,26.6
6,Pongola - SASRI,2,1981,57.1,24.2
6,Pongola - SASRI,3,1981,70.2,23.7
6,Pongola - SASRI,4,1981,3.3,21.7
6,Pongola - SASRI,5,1981,62.8,18.2
6,Pongola - SASRI,6,1981,28.4,15.4
6,Pongola - SASRI,7,1981,0,15.8
6,Pongola - SASRI,8,1981,19.8,16.8
6,Pongola - SASRI,9,1981,51,18.1
6,Pongola - SASRI,10,1981,64,19.2
6,Pongola - SASRI,11,1981,63.7,23.6
6,Pongola - SASRI,12,1981,40.1,23.3
6,Pongola - SASRI,1,1982,59.7,25.3
6,Pongola - SASRI,2,1982,20.3,25.7
6,Pongola - SASRI,3,1982,81.9,23.8
6,Pongola - SASRI,4,1982,68.9,21.1
6,Pongola - SASRI,5,1982,6.5,18.3
